Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,2,1,3,3
2,2,1,2,2,2
3,3,2,1,3,3
4,3,2,1,3,3
5,4,2,2,4,4
6,4,2,2,4,4
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,4,2,2,4,4
11,3,2,1,3,3
12,3,2,1,3,3
13,2,1,2,2,2
14,3,2,1,3,3
15,1,1,1,1,1
16,2,1,2,2,2
17,1,1,1,1,1
18,4,2,2,4,4
19,3,2,1,3,3
20,2,1,2,2,2
21,3,2,1,3,3
22,1,1,1,1,1
23,2,1,2,2,2
24,3,2,1,3,3
25,4,2,2,4,4
26,4,2,2,4,4
27,2,1,2,2,2
28,2,1,2,2,2
29,2,1,2,2,2
30,4,2,2,4,4
31,1,1,1,1,1
32,4,2,2,4,4
33,1,1,1,1,1
34,3,2,1,3,3
35,2,1,2,2,2
36,3,2,1,3,3
37,1,1,1,1,1
38,1,1,1,1,1
39,4,2,2,4,4
40,2,1,2,2,2
41,1,1,1,1,1
42,4,2,2,4,4
43,2,1,2,2,2
44,4,2,2,4,4
45,4,2,2,4,4
46,2,1,2,2,2
47,3,2,1,3,3
48,1,1,1,1,1
49,1,1,1,1,1
50,2,1,2,2,2
51,4,2,2,4,4
52,3,2,1,3,3
