Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,2,1,3,3
2,4,2,2,4,4
3,3,2,1,3,3
4,2,1,2,2,2
5,2,1,2,2,2
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,2,1,2,2,2
10,1,1,1,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,4,2,2,4,4
14,3,2,1,3,3
15,2,1,2,2,2
16,2,1,2,2,2
17,3,2,1,3,3
18,2,1,2,2,2
19,1,1,1,1,1
20,2,1,2,2,2
21,4,2,2,4,4
22,4,2,2,4,4
23,2,1,2,2,2
24,3,2,1,3,3
25,1,1,1,1,1
26,1,1,1,1,1
27,2,1,2,2,2
28,3,2,1,3,3
29,1,1,1,1,1
30,3,2,1,3,3
31,4,2,2,4,4
32,3,2,1,3,3
33,4,2,2,4,4
34,4,2,2,4,4
35,3,2,1,3,3
36,2,1,2,2,2
37,2,1,2,2,2
38,4,2,2,4,4
39,4,2,2,4,4
40,2,1,2,2,2
41,3,2,1,3,3
42,4,2,2,4,4
43,3,2,1,3,3
44,1,1,1,1,1
45,4,2,2,4,4
46,1,1,1,1,1
47,4,2,2,4,4
48,1,1,1,1,1
49,3,2,1,3,3
50,3,2,1,3,3
51,2,1,2,2,2
52,4,2,2,4,4
