Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,2,1,3,3
2,4,2,2,4,4
3,4,2,2,4,4
4,3,2,1,3,3
5,4,2,2,4,4
6,2,1,2,2,2
7,1,1,1,1,1
8,1,1,1,1,1
9,3,2,1,3,3
10,3,2,1,3,3
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,1,1,1
14,2,1,2,2,2
15,2,1,2,2,2
16,2,1,2,2,2
17,3,2,1,3,3
18,4,2,2,4,4
19,4,2,2,4,4
20,2,1,2,2,2
21,1,1,1,1,1
22,1,1,1,1,1
23,4,2,2,4,4
24,3,2,1,3,3
25,3,2,1,3,3
26,1,1,1,1,1
27,3,2,1,3,3
28,1,1,1,1,1
29,4,2,2,4,4
30,4,2,2,4,4
31,1,1,1,1,1
32,2,1,2,2,2
33,1,1,1,1,1
34,3,2,1,3,3
35,3,2,1,3,3
36,4,2,2,4,4
37,2,1,2,2,2
38,3,2,1,3,3
39,1,1,1,1,1
40,4,2,2,4,4
41,3,2,1,3,3
42,3,2,1,3,3
43,4,2,2,4,4
44,2,1,2,2,2
45,2,1,2,2,2
46,4,2,2,4,4
47,2,1,2,2,2
48,1,1,1,1,1
49,2,1,2,2,2
50,2,1,2,2,2
51,4,2,2,4,4
52,2,1,2,2,2
