Trialn,TrialType,Partner,Feedback,ITI,ISI
1,2,1,2,2,2
2,4,2,2,4,4
3,3,2,1,3,3
4,1,1,1,1,1
5,1,1,1,1,1
6,2,1,2,2,2
7,4,2,2,4,4
8,1,1,1,1,1
9,2,1,2,2,2
10,4,2,2,4,4
11,1,1,1,1,1
12,4,2,2,4,4
13,4,2,2,4,4
14,2,1,2,2,2
15,3,2,1,3,3
16,2,1,2,2,2
17,3,2,1,3,3
18,2,1,2,2,2
19,4,2,2,4,4
20,2,1,2,2,2
21,1,1,1,1,1
22,1,1,1,1,1
23,1,1,1,1,1
24,3,2,1,3,3
25,3,2,1,3,3
26,2,1,2,2,2
27,1,1,1,1,1
28,4,2,2,4,4
29,2,1,2,2,2
30,1,1,1,1,1
31,3,2,1,3,3
32,3,2,1,3,3
33,4,2,2,4,4
34,2,1,2,2,2
35,1,1,1,1,1
36,3,2,1,3,3
37,4,2,2,4,4
38,4,2,2,4,4
39,3,2,1,3,3
40,3,2,1,3,3
41,3,2,1,3,3
42,1,1,1,1,1
43,1,1,1,1,1
44,1,1,1,1,1
45,4,2,2,4,4
46,2,1,2,2,2
47,3,2,1,3,3
48,2,1,2,2,2
49,4,2,2,4,4
50,3,2,1,3,3
51,2,1,2,2,2
52,4,2,2,4,4
