Trialn,TrialType,Partner,Feedback,ITI,ISI
1,2,1,2,2,2
2,4,2,2,4,4
3,3,2,1,3,3
4,1,1,1,1,1
5,1,1,1,1,1
6,2,1,2,2,2
7,1,1,1,1,1
8,4,2,2,4,4
9,4,2,2,4,4
10,3,2,1,3,3
11,3,2,1,3,3
12,3,2,1,3,3
13,1,1,1,1,1
14,2,1,2,2,2
15,4,2,2,4,4
16,1,1,1,1,1
17,3,2,1,3,3
18,4,2,2,4,4
19,2,1,2,2,2
20,2,1,2,2,2
21,4,2,2,4,4
22,3,2,1,3,3
23,4,2,2,4,4
24,2,1,2,2,2
25,3,2,1,3,3
26,4,2,2,4,4
27,2,1,2,2,2
28,1,1,1,1,1
29,1,1,1,1,1
30,4,2,2,4,4
31,4,2,2,4,4
32,3,2,1,3,3
33,1,1,1,1,1
34,3,2,1,3,3
35,3,2,1,3,3
36,3,2,1,3,3
37,1,1,1,1,1
38,1,1,1,1,1
39,2,1,2,2,2
40,2,1,2,2,2
41,2,1,2,2,2
42,1,1,1,1,1
43,3,2,1,3,3
44,2,1,2,2,2
45,3,2,1,3,3
46,4,2,2,4,4
47,4,2,2,4,4
48,2,1,2,2,2
49,1,1,1,1,1
50,4,2,2,4,4
51,2,1,2,2,2
52,1,1,1,1,1
