Trialn,TrialType,Partner,Feedback,ITI,ISI
1,2,1,2,2,2
2,2,1,2,2,2
3,1,1,1,1,1
4,3,2,1,3,3
5,1,1,1,1,1
6,1,1,1,1,1
7,2,1,2,2,2
8,2,1,2,2,2
9,2,1,2,2,2
10,4,2,2,4,4
11,1,1,1,1,1
12,1,1,1,1,1
13,2,1,2,2,2
14,4,2,2,4,4
15,3,2,1,3,3
16,4,2,2,4,4
17,1,1,1,1,1
18,3,2,1,3,3
19,4,2,2,4,4
20,1,1,1,1,1
21,1,1,1,1,1
22,3,2,1,3,3
23,3,2,1,3,3
24,2,1,2,2,2
25,3,2,1,3,3
26,3,2,1,3,3
27,3,2,1,3,3
28,4,2,2,4,4
29,2,1,2,2,2
30,4,2,2,4,4
31,1,1,1,1,1
32,4,2,2,4,4
33,4,2,2,4,4
34,3,2,1,3,3
35,4,2,2,4,4
36,2,1,2,2,2
37,2,1,2,2,2
38,2,1,2,2,2
39,2,1,2,2,2
40,2,1,2,2,2
41,3,2,1,3,3
42,3,2,1,3,3
43,1,1,1,1,1
44,4,2,2,4,4
45,4,2,2,4,4
46,3,2,1,3,3
47,1,1,1,1,1
48,4,2,2,4,4
49,3,2,1,3,3
50,4,2,2,4,4
51,1,1,1,1,1
52,1,1,1,1,1
