Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,1,4,2.550000e+00
2,5,2,2,2,8.500000e-01
3,1,1,1,3,2.550000e+00
4,4,2,1,1,1.700000e+00
5,6,2,3,3,2.550000e+00
6,1,1,1,4,2.550000e+00
7,1,1,1,3,2.550000e+00
8,6,2,3,3,2.550000e+00
9,3,1,3,4,2.550000e+00
10,1,1,1,4,8.500000e-01
11,4,2,1,4,8.500000e-01
12,1,1,1,4,8.500000e-01
13,6,2,3,1,2.550000e+00
14,6,2,3,1,1.700000e+00
15,6,2,3,2,8.500000e-01
16,4,2,1,4,8.500000e-01
17,3,1,3,4,1.700000e+00
18,5,2,2,3,1.700000e+00
19,6,2,3,1,2.550000e+00
20,2,1,2,3,1.700000e+00
21,5,2,2,4,1.700000e+00
22,4,2,1,2,2.550000e+00
23,4,2,1,2,8.500000e-01
24,1,1,1,2,2.550000e+00
25,3,1,3,1,1.700000e+00
26,2,1,2,3,1.700000e+00
27,3,1,3,3,2.550000e+00
28,1,1,1,1,8.500000e-01
29,3,1,3,2,2.550000e+00
30,6,2,3,2,8.500000e-01
31,3,1,3,2,1.700000e+00
32,2,1,2,1,2.550000e+00
33,1,1,1,1,8.500000e-01
34,1,1,1,4,8.500000e-01
35,6,2,3,1,2.550000e+00
36,4,2,1,4,1.700000e+00
37,1,1,1,3,8.500000e-01
38,3,1,3,2,8.500000e-01
39,1,1,1,2,8.500000e-01
40,4,2,1,3,8.500000e-01
41,3,1,3,1,1.700000e+00
42,3,1,3,1,8.500000e-01
43,6,2,3,2,2.550000e+00
44,6,2,3,3,2.550000e+00
45,2,1,2,2,8.500000e-01
46,3,1,3,4,1.700000e+00
47,2,1,2,3,2.550000e+00
48,4,2,1,1,1.700000e+00
49,5,2,2,4,1.700000e+00
50,3,1,3,3,1.700000e+00
51,6,2,3,2,1.700000e+00
52,5,2,2,4,1.700000e+00
53,4,2,1,2,8.500000e-01
54,4,2,1,4,1.700000e+00
