Trialn,TrialType,Partner,Feedback,ITI,ISI
1,6,2,3,4,2.550000e+00
2,4,2,1,1,2.550000e+00
3,1,1,1,2,1.700000e+00
4,4,2,1,1,1.700000e+00
5,6,2,3,1,2.550000e+00
6,3,1,3,1,8.500000e-01
7,1,1,1,2,2.550000e+00
8,3,1,3,1,2.550000e+00
9,4,2,1,2,8.500000e-01
10,3,1,3,4,8.500000e-01
11,4,2,1,3,1.700000e+00
12,4,2,1,4,1.700000e+00
13,1,1,1,1,2.550000e+00
14,1,1,1,3,1.700000e+00
15,3,1,3,3,8.500000e-01
16,6,2,3,2,8.500000e-01
17,1,1,1,1,8.500000e-01
18,3,1,3,4,1.700000e+00
19,5,2,2,3,1.700000e+00
20,6,2,3,3,1.700000e+00
21,6,2,3,1,8.500000e-01
22,4,2,1,1,1.700000e+00
23,1,1,1,1,1.700000e+00
24,1,1,1,2,2.550000e+00
25,6,2,3,1,2.550000e+00
26,3,1,3,3,1.700000e+00
27,1,1,1,2,1.700000e+00
28,3,1,3,4,8.500000e-01
29,2,1,2,2,2.550000e+00
30,2,1,2,2,2.550000e+00
31,5,2,2,2,2.550000e+00
32,5,2,2,1,8.500000e-01
33,3,1,3,4,1.700000e+00
34,1,1,1,3,1.700000e+00
35,6,2,3,1,1.700000e+00
36,5,2,2,4,1.700000e+00
37,4,2,1,4,2.550000e+00
38,6,2,3,2,8.500000e-01
39,4,2,1,2,8.500000e-01
40,3,1,3,3,2.550000e+00
41,4,2,1,4,8.500000e-01
42,2,1,2,4,8.500000e-01
43,2,1,2,4,1.700000e+00
44,4,2,1,3,1.700000e+00
45,2,1,2,3,8.500000e-01
46,1,1,1,1,2.550000e+00
47,1,1,1,4,8.500000e-01
48,6,2,3,1,8.500000e-01
49,6,2,3,3,2.550000e+00
50,4,2,1,2,8.500000e-01
51,5,2,2,4,2.550000e+00
52,3,1,3,4,2.550000e+00
53,6,2,3,2,2.550000e+00
54,3,1,3,2,8.500000e-01
