Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,2,1,3,3
2,3,2,1,3,3
3,4,2,2,4,4
4,2,1,2,2,2
5,1,1,1,1,1
6,4,2,2,4,4
7,1,1,1,1,1
8,4,2,2,4,4
9,4,2,2,4,4
10,2,1,2,2,2
11,2,1,2,2,2
12,4,2,2,4,4
13,2,1,2,2,2
14,1,1,1,1,1
15,4,2,2,4,4
16,1,1,1,1,1
17,2,1,2,2,2
18,3,2,1,3,3
19,4,2,2,4,4
20,2,1,2,2,2
21,3,2,1,3,3
22,1,1,1,1,1
23,3,2,1,3,3
24,1,1,1,1,1
25,1,1,1,1,1
26,3,2,1,3,3
27,3,2,1,3,3
28,3,2,1,3,3
29,4,2,2,4,4
30,1,1,1,1,1
31,1,1,1,1,1
32,3,2,1,3,3
33,4,2,2,4,4
34,1,1,1,1,1
35,2,1,2,2,2
36,2,1,2,2,2
37,3,2,1,3,3
38,2,1,2,2,2
39,2,1,2,2,2
40,4,2,2,4,4
41,4,2,2,4,4
42,4,2,2,4,4
43,3,2,1,3,3
44,1,1,1,1,1
45,2,1,2,2,2
46,3,2,1,3,3
47,2,1,2,2,2
48,1,1,1,1,1
49,3,2,1,3,3
50,4,2,2,4,4
51,1,1,1,1,1
52,2,1,2,2,2
