Trialn,TrialType,Partner,Feedback,ITI,ISI
1,2,1,2,2,2
2,1,1,1,1,1
3,2,1,2,2,2
4,4,2,2,4,4
5,1,1,1,1,1
6,4,2,2,4,4
7,4,2,2,4,4
8,3,2,1,3,3
9,1,1,1,1,1
10,4,2,2,4,4
11,2,1,2,2,2
12,1,1,1,1,1
13,4,2,2,4,4
14,4,2,2,4,4
15,3,2,1,3,3
16,2,1,2,2,2
17,2,1,2,2,2
18,3,2,1,3,3
19,2,1,2,2,2
20,4,2,2,4,4
21,2,1,2,2,2
22,4,2,2,4,4
23,1,1,1,1,1
24,3,2,1,3,3
25,2,1,2,2,2
26,3,2,1,3,3
27,2,1,2,2,2
28,4,2,2,4,4
29,1,1,1,1,1
30,4,2,2,4,4
31,3,2,1,3,3
32,2,1,2,2,2
33,2,1,2,2,2
34,3,2,1,3,3
35,4,2,2,4,4
36,3,2,1,3,3
37,1,1,1,1,1
38,3,2,1,3,3
39,1,1,1,1,1
40,3,2,1,3,3
41,2,1,2,2,2
42,2,1,2,2,2
43,1,1,1,1,1
44,1,1,1,1,1
45,3,2,1,3,3
46,4,2,2,4,4
47,4,2,2,4,4
48,1,1,1,1,1
49,1,1,1,1,1
50,1,1,1,1,1
51,3,2,1,3,3
52,3,2,1,3,3
