Trialn,TrialType,Partner,Feedback,ITI,ISI
1,1,1,1,1,1
2,2,1,2,2,2
3,2,1,2,2,2
4,2,1,2,2,2
5,4,2,2,4,4
6,4,2,2,4,4
7,4,2,2,4,4
8,1,1,1,1,1
9,2,1,2,2,2
10,3,2,1,3,3
11,4,2,2,4,4
12,2,1,2,2,2
13,4,2,2,4,4
14,2,1,2,2,2
15,2,1,2,2,2
16,2,1,2,2,2
17,4,2,2,4,4
18,3,2,1,3,3
19,1,1,1,1,1
20,3,2,1,3,3
21,3,2,1,3,3
22,2,1,2,2,2
23,4,2,2,4,4
24,3,2,1,3,3
25,1,1,1,1,1
26,2,1,2,2,2
27,3,2,1,3,3
28,3,2,1,3,3
29,3,2,1,3,3
30,3,2,1,3,3
31,1,1,1,1,1
32,3,2,1,3,3
33,4,2,2,4,4
34,1,1,1,1,1
35,1,1,1,1,1
36,2,1,2,2,2
37,4,2,2,4,4
38,2,1,2,2,2
39,2,1,2,2,2
40,4,2,2,4,4
41,3,2,1,3,3
42,4,2,2,4,4
43,1,1,1,1,1
44,1,1,1,1,1
45,3,2,1,3,3
46,1,1,1,1,1
47,3,2,1,3,3
48,1,1,1,1,1
49,1,1,1,1,1
50,4,2,2,4,4
51,4,2,2,4,4
52,1,1,1,1,1
