Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,2,1,3,3
2,2,1,2,2,2
3,4,2,2,4,4
4,2,1,2,2,2
5,2,1,2,2,2
6,2,1,2,2,2
7,2,1,2,2,2
8,1,1,1,1,1
9,1,1,1,1,1
10,2,1,2,2,2
11,1,1,1,1,1
12,4,2,2,4,4
13,4,2,2,4,4
14,2,1,2,2,2
15,1,1,1,1,1
16,3,2,1,3,3
17,2,1,2,2,2
18,2,1,2,2,2
19,4,2,2,4,4
20,1,1,1,1,1
21,3,2,1,3,3
22,2,1,2,2,2
23,2,1,2,2,2
24,4,2,2,4,4
25,3,2,1,3,3
26,4,2,2,4,4
27,1,1,1,1,1
28,3,2,1,3,3
29,4,2,2,4,4
30,4,2,2,4,4
31,4,2,2,4,4
32,2,1,2,2,2
33,3,2,1,3,3
34,4,2,2,4,4
35,4,2,2,4,4
36,1,1,1,1,1
37,1,1,1,1,1
38,1,1,1,1,1
39,3,2,1,3,3
40,3,2,1,3,3
41,1,1,1,1,1
42,4,2,2,4,4
43,2,1,2,2,2
44,1,1,1,1,1
45,3,2,1,3,3
46,3,2,1,3,3
47,1,1,1,1,1
48,4,2,2,4,4
49,3,2,1,3,3
50,3,2,1,3,3
51,1,1,1,1,1
52,3,2,1,3,3
