Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,2,1,3,3
2,2,1,2,2,2
3,1,1,1,1,1
4,1,1,1,1,1
5,2,1,2,2,2
6,1,1,1,1,1
7,3,2,1,3,3
8,4,2,2,4,4
9,2,1,2,2,2
10,2,1,2,2,2
11,3,2,1,3,3
12,4,2,2,4,4
13,3,2,1,3,3
14,2,1,2,2,2
15,2,1,2,2,2
16,4,2,2,4,4
17,4,2,2,4,4
18,1,1,1,1,1
19,3,2,1,3,3
20,4,2,2,4,4
21,3,2,1,3,3
22,3,2,1,3,3
23,4,2,2,4,4
24,3,2,1,3,3
25,2,1,2,2,2
26,1,1,1,1,1
27,2,1,2,2,2
28,1,1,1,1,1
29,1,1,1,1,1
30,2,1,2,2,2
31,1,1,1,1,1
32,4,2,2,4,4
33,2,1,2,2,2
34,3,2,1,3,3
35,2,1,2,2,2
36,1,1,1,1,1
37,3,2,1,3,3
38,3,2,1,3,3
39,2,1,2,2,2
40,2,1,2,2,2
41,4,2,2,4,4
42,4,2,2,4,4
43,1,1,1,1,1
44,4,2,2,4,4
45,4,2,2,4,4
46,3,2,1,3,3
47,4,2,2,4,4
48,1,1,1,1,1
49,3,2,1,3,3
50,1,1,1,1,1
51,4,2,2,4,4
52,1,1,1,1,1
