Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,2,4,4
2,1,1,1,1,1
3,4,2,2,4,4
4,4,2,2,4,4
5,3,2,1,3,3
6,2,1,2,2,2
7,1,1,1,1,1
8,1,1,1,1,1
9,4,2,2,4,4
10,2,1,2,2,2
11,3,2,1,3,3
12,3,2,1,3,3
13,1,1,1,1,1
14,3,2,1,3,3
15,2,1,2,2,2
16,4,2,2,4,4
17,4,2,2,4,4
18,2,1,2,2,2
19,1,1,1,1,1
20,4,2,2,4,4
21,2,1,2,2,2
22,2,1,2,2,2
23,3,2,1,3,3
24,4,2,2,4,4
25,3,2,1,3,3
26,4,2,2,4,4
27,3,2,1,3,3
28,1,1,1,1,1
29,1,1,1,1,1
30,3,2,1,3,3
31,2,1,2,2,2
32,3,2,1,3,3
33,1,1,1,1,1
34,3,2,1,3,3
35,1,1,1,1,1
36,3,2,1,3,3
37,4,2,2,4,4
38,1,1,1,1,1
39,2,1,2,2,2
40,2,1,2,2,2
41,1,1,1,1,1
42,1,1,1,1,1
43,2,1,2,2,2
44,4,2,2,4,4
45,4,2,2,4,4
46,2,1,2,2,2
47,2,1,2,2,2
48,2,1,2,2,2
49,3,2,1,3,3
50,3,2,1,3,3
51,1,1,1,1,1
52,4,2,2,4,4
