Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,1,2,2.550000e+00
2,4,2,1,3,1.700000e+00
3,4,2,1,1,1.700000e+00
4,1,1,1,4,1.700000e+00
5,1,1,1,3,1.700000e+00
6,4,2,1,4,1.700000e+00
7,1,1,1,2,1.700000e+00
8,5,2,2,1,8.500000e-01
9,5,2,2,2,2.550000e+00
10,1,1,1,4,1.700000e+00
11,2,1,2,3,8.500000e-01
12,3,1,3,3,8.500000e-01
13,4,2,1,1,2.550000e+00
14,1,1,1,1,1.700000e+00
15,5,2,2,1,1.700000e+00
16,3,1,3,3,8.500000e-01
17,4,2,1,2,8.500000e-01
18,5,2,2,2,8.500000e-01
19,4,2,1,1,1.700000e+00
20,6,2,3,3,1.700000e+00
21,2,1,2,1,2.550000e+00
22,3,1,3,2,2.550000e+00
23,5,2,2,3,8.500000e-01
24,3,1,3,4,2.550000e+00
25,2,1,2,4,8.500000e-01
26,6,2,3,1,8.500000e-01
27,1,1,1,2,2.550000e+00
28,1,1,1,2,1.700000e+00
29,3,1,3,2,2.550000e+00
30,1,1,1,4,1.700000e+00
31,3,1,3,1,8.500000e-01
32,3,1,3,4,8.500000e-01
33,6,2,3,4,2.550000e+00
34,4,2,1,1,2.550000e+00
35,6,2,3,2,8.500000e-01
36,1,1,1,3,8.500000e-01
37,4,2,1,1,1.700000e+00
38,3,1,3,4,2.550000e+00
39,2,1,2,3,2.550000e+00
40,6,2,3,2,1.700000e+00
41,6,2,3,4,2.550000e+00
42,1,1,1,1,1.700000e+00
43,2,1,2,1,2.550000e+00
44,3,1,3,4,1.700000e+00
45,6,2,3,3,8.500000e-01
46,6,2,3,2,2.550000e+00
47,4,2,1,2,8.500000e-01
48,1,1,1,1,1.700000e+00
49,6,2,3,3,2.550000e+00
50,3,1,3,3,2.550000e+00
51,4,2,1,2,8.500000e-01
52,6,2,3,4,2.550000e+00
53,6,2,3,4,8.500000e-01
54,3,1,3,1,8.500000e-01
