Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,1,3,2,1.700000e+00
2,6,2,3,1,2.550000e+00
3,6,2,3,1,8.500000e-01
4,1,1,1,2,8.500000e-01
5,4,2,1,3,1.700000e+00
6,2,1,2,4,1.700000e+00
7,6,2,3,3,8.500000e-01
8,6,2,3,3,2.550000e+00
9,5,2,2,2,1.700000e+00
10,3,1,3,4,1.700000e+00
11,1,1,1,4,2.550000e+00
12,4,2,1,3,1.700000e+00
13,3,1,3,4,2.550000e+00
14,4,2,1,1,2.550000e+00
15,1,1,1,3,8.500000e-01
16,4,2,1,4,1.700000e+00
17,3,1,3,4,2.550000e+00
18,2,1,2,3,2.550000e+00
19,1,1,1,4,2.550000e+00
20,6,2,3,1,1.700000e+00
21,3,1,3,2,8.500000e-01
22,3,1,3,4,1.700000e+00
23,6,2,3,2,8.500000e-01
24,1,1,1,4,2.550000e+00
25,5,2,2,3,2.550000e+00
26,6,2,3,1,8.500000e-01
27,5,2,2,3,8.500000e-01
28,4,2,1,1,8.500000e-01
29,1,1,1,2,8.500000e-01
30,1,1,1,3,8.500000e-01
31,6,2,3,3,1.700000e+00
32,1,1,1,2,1.700000e+00
33,4,2,1,2,1.700000e+00
34,3,1,3,2,2.550000e+00
35,3,1,3,3,2.550000e+00
36,5,2,2,3,8.500000e-01
37,2,1,2,1,8.500000e-01
38,3,1,3,4,8.500000e-01
39,1,1,1,2,1.700000e+00
40,6,2,3,3,1.700000e+00
41,1,1,1,1,8.500000e-01
42,6,2,3,4,2.550000e+00
43,3,1,3,1,1.700000e+00
44,4,2,1,1,2.550000e+00
45,4,2,1,2,2.550000e+00
46,4,2,1,1,2.550000e+00
47,1,1,1,2,1.700000e+00
48,2,1,2,4,8.500000e-01
49,4,2,1,2,8.500000e-01
50,6,2,3,1,1.700000e+00
51,5,2,2,1,2.550000e+00
52,3,1,3,2,8.500000e-01
53,2,1,2,2,1.700000e+00
54,4,2,1,4,2.550000e+00
