Trialn,TrialType,Partner,Feedback,ITI,ISI
1,5,2,2,4,2.550000e+00
2,3,1,3,2,2.550000e+00
3,6,2,3,3,8.500000e-01
4,1,1,1,3,1.700000e+00
5,3,1,3,3,1.700000e+00
6,4,2,1,1,2.550000e+00
7,4,2,1,3,8.500000e-01
8,1,1,1,1,1.700000e+00
9,1,1,1,2,1.700000e+00
10,1,1,1,4,1.700000e+00
11,4,2,1,4,8.500000e-01
12,2,1,2,2,1.700000e+00
13,1,1,1,3,1.700000e+00
14,4,2,1,3,2.550000e+00
15,3,1,3,2,8.500000e-01
16,3,1,3,1,1.700000e+00
17,3,1,3,4,2.550000e+00
18,4,2,1,1,1.700000e+00
19,3,1,3,3,2.550000e+00
20,4,2,1,1,8.500000e-01
21,6,2,3,1,8.500000e-01
22,2,1,2,2,1.700000e+00
23,6,2,3,4,1.700000e+00
24,4,2,1,3,2.550000e+00
25,3,1,3,3,1.700000e+00
26,6,2,3,2,8.500000e-01
27,3,1,3,3,8.500000e-01
28,6,2,3,1,1.700000e+00
29,1,1,1,2,2.550000e+00
30,4,2,1,4,2.550000e+00
31,5,2,2,2,8.500000e-01
32,5,2,2,1,8.500000e-01
33,6,2,3,4,8.500000e-01
34,3,1,3,4,8.500000e-01
35,1,1,1,2,2.550000e+00
36,6,2,3,2,2.550000e+00
37,4,2,1,4,8.500000e-01
38,6,2,3,1,1.700000e+00
39,6,2,3,1,2.550000e+00
40,6,2,3,3,8.500000e-01
41,2,1,2,4,2.550000e+00
42,1,1,1,2,2.550000e+00
43,3,1,3,2,2.550000e+00
44,1,1,1,4,1.700000e+00
45,3,1,3,3,2.550000e+00
46,4,2,1,3,8.500000e-01
47,2,1,2,3,8.500000e-01
48,6,2,3,1,1.700000e+00
49,2,1,2,2,1.700000e+00
50,1,1,1,3,8.500000e-01
51,5,2,2,1,1.700000e+00
52,4,2,1,4,2.550000e+00
53,5,2,2,4,2.550000e+00
54,1,1,1,3,8.500000e-01
