Trialn,TrialType,Partner,Feedback,ITI,ISI
1,5,2,2,1,2.550000e+00
2,6,2,3,2,8.500000e-01
3,6,2,3,1,2.550000e+00
4,3,1,3,2,8.500000e-01
5,6,2,3,2,8.500000e-01
6,6,2,3,4,8.500000e-01
7,2,1,2,3,2.550000e+00
8,1,1,1,1,8.500000e-01
9,6,2,3,3,2.550000e+00
10,2,1,2,1,1.700000e+00
11,4,2,1,2,1.700000e+00
12,1,1,1,4,1.700000e+00
13,1,1,1,3,2.550000e+00
14,4,2,1,4,1.700000e+00
15,1,1,1,3,2.550000e+00
16,5,2,2,4,8.500000e-01
17,6,2,3,1,1.700000e+00
18,3,1,3,4,1.700000e+00
19,5,2,2,4,2.550000e+00
20,4,2,1,4,2.550000e+00
21,3,1,3,3,1.700000e+00
22,3,1,3,2,1.700000e+00
23,4,2,1,4,2.550000e+00
24,1,1,1,4,2.550000e+00
25,1,1,1,1,8.500000e-01
26,3,1,3,4,1.700000e+00
27,5,2,2,2,2.550000e+00
28,6,2,3,1,2.550000e+00
29,4,2,1,4,8.500000e-01
30,3,1,3,3,1.700000e+00
31,6,2,3,2,2.550000e+00
32,4,2,1,1,8.500000e-01
33,3,1,3,3,1.700000e+00
34,4,2,1,2,8.500000e-01
35,6,2,3,4,8.500000e-01
36,6,2,3,4,8.500000e-01
37,2,1,2,1,1.700000e+00
38,3,1,3,3,8.500000e-01
39,5,2,2,1,1.700000e+00
40,6,2,3,4,8.500000e-01
41,4,2,1,2,1.700000e+00
42,1,1,1,2,2.550000e+00
43,1,1,1,1,8.500000e-01
44,4,2,1,2,8.500000e-01
45,2,1,2,2,2.550000e+00
46,1,1,1,1,8.500000e-01
47,3,1,3,2,1.700000e+00
48,1,1,1,4,8.500000e-01
49,1,1,1,2,1.700000e+00
50,3,1,3,3,1.700000e+00
51,3,1,3,3,2.550000e+00
52,2,1,2,3,1.700000e+00
53,4,2,1,1,2.550000e+00
54,4,2,1,1,2.550000e+00
