Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,2,1,3,3
2,2,1,2,2,2
3,3,2,1,3,3
4,1,1,1,1,1
5,3,2,1,3,3
6,4,2,2,4,4
7,1,1,1,1,1
8,4,2,2,4,4
9,2,1,2,2,2
10,1,1,1,1,1
11,3,2,1,3,3
12,4,2,2,4,4
13,3,2,1,3,3
14,4,2,2,4,4
15,4,2,2,4,4
16,4,2,2,4,4
17,2,1,2,2,2
18,4,2,2,4,4
19,4,2,2,4,4
20,4,2,2,4,4
21,2,1,2,2,2
22,2,1,2,2,2
23,1,1,1,1,1
24,3,2,1,3,3
25,4,2,2,4,4
26,4,2,2,4,4
27,2,1,2,2,2
28,1,1,1,1,1
29,3,2,1,3,3
30,2,1,2,2,2
31,1,1,1,1,1
32,1,1,1,1,1
33,3,2,1,3,3
34,2,1,2,2,2
35,1,1,1,1,1
36,4,2,2,4,4
37,1,1,1,1,1
38,3,2,1,3,3
39,4,2,2,4,4
40,2,1,2,2,2
41,3,2,1,3,3
42,2,1,2,2,2
43,1,1,1,1,1
44,3,2,1,3,3
45,3,2,1,3,3
46,1,1,1,1,1
47,2,1,2,2,2
48,3,2,1,3,3
49,1,1,1,1,1
50,2,1,2,2,2
51,2,1,2,2,2
52,1,1,1,1,1
