Trialn,TrialType,Partner,Feedback,ITI,ISI
1,1,1,1,1,1
2,1,1,1,1,1
3,3,2,1,3,3
4,4,2,2,4,4
5,2,1,2,2,2
6,4,2,2,4,4
7,1,1,1,1,1
8,2,1,2,2,2
9,2,1,2,2,2
10,1,1,1,1,1
11,2,1,2,2,2
12,4,2,2,4,4
13,4,2,2,4,4
14,3,2,1,3,3
15,4,2,2,4,4
16,3,2,1,3,3
17,4,2,2,4,4
18,4,2,2,4,4
19,2,1,2,2,2
20,1,1,1,1,1
21,3,2,1,3,3
22,3,2,1,3,3
23,3,2,1,3,3
24,4,2,2,4,4
25,4,2,2,4,4
26,1,1,1,1,1
27,1,1,1,1,1
28,4,2,2,4,4
29,2,1,2,2,2
30,3,2,1,3,3
31,1,1,1,1,1
32,2,1,2,2,2
33,4,2,2,4,4
34,2,1,2,2,2
35,2,1,2,2,2
36,3,2,1,3,3
37,2,1,2,2,2
38,1,1,1,1,1
39,3,2,1,3,3
40,3,2,1,3,3
41,1,1,1,1,1
42,2,1,2,2,2
43,4,2,2,4,4
44,1,1,1,1,1
45,4,2,2,4,4
46,3,2,1,3,3
47,2,1,2,2,2
48,1,1,1,1,1
49,3,2,1,3,3
50,1,1,1,1,1
51,2,1,2,2,2
52,3,2,1,3,3
