Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,2,4,4
2,2,1,2,2,2
3,2,1,2,2,2
4,4,2,2,4,4
5,1,1,1,1,1
6,4,2,2,4,4
7,2,1,2,2,2
8,1,1,1,1,1
9,3,2,1,3,3
10,3,2,1,3,3
11,2,1,2,2,2
12,2,1,2,2,2
13,3,2,1,3,3
14,1,1,1,1,1
15,1,1,1,1,1
16,2,1,2,2,2
17,1,1,1,1,1
18,1,1,1,1,1
19,4,2,2,4,4
20,3,2,1,3,3
21,2,1,2,2,2
22,2,1,2,2,2
23,1,1,1,1,1
24,2,1,2,2,2
25,2,1,2,2,2
26,3,2,1,3,3
27,4,2,2,4,4
28,1,1,1,1,1
29,2,1,2,2,2
30,3,2,1,3,3
31,4,2,2,4,4
32,3,2,1,3,3
33,4,2,2,4,4
34,1,1,1,1,1
35,1,1,1,1,1
36,4,2,2,4,4
37,3,2,1,3,3
38,4,2,2,4,4
39,4,2,2,4,4
40,4,2,2,4,4
41,4,2,2,4,4
42,1,1,1,1,1
43,1,1,1,1,1
44,3,2,1,3,3
45,3,2,1,3,3
46,3,2,1,3,3
47,4,2,2,4,4
48,3,2,1,3,3
49,1,1,1,1,1
50,2,1,2,2,2
51,3,2,1,3,3
52,2,1,2,2,2
