Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,2,4,4
2,2,1,2,2,2
3,3,2,1,3,3
4,1,1,1,1,1
5,3,2,1,3,3
6,2,1,2,2,2
7,2,1,2,2,2
8,3,2,1,3,3
9,2,1,2,2,2
10,3,2,1,3,3
11,1,1,1,1,1
12,4,2,2,4,4
13,4,2,2,4,4
14,3,2,1,3,3
15,4,2,2,4,4
16,3,2,1,3,3
17,1,1,1,1,1
18,2,1,2,2,2
19,3,2,1,3,3
20,4,2,2,4,4
21,3,2,1,3,3
22,2,1,2,2,2
23,2,1,2,2,2
24,1,1,1,1,1
25,4,2,2,4,4
26,1,1,1,1,1
27,4,2,2,4,4
28,2,1,2,2,2
29,4,2,2,4,4
30,2,1,2,2,2
31,4,2,2,4,4
32,3,2,1,3,3
33,1,1,1,1,1
34,1,1,1,1,1
35,3,2,1,3,3
36,1,1,1,1,1
37,3,2,1,3,3
38,3,2,1,3,3
39,2,1,2,2,2
40,2,1,2,2,2
41,4,2,2,4,4
42,1,1,1,1,1
43,4,2,2,4,4
44,4,2,2,4,4
45,2,1,2,2,2
46,1,1,1,1,1
47,1,1,1,1,1
48,4,2,2,4,4
49,3,2,1,3,3
50,1,1,1,1,1
51,2,1,2,2,2
52,1,1,1,1,1
