Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,2,1,3,3
2,2,1,2,2,2
3,4,2,2,4,4
4,1,1,1,1,1
5,1,1,1,1,1
6,2,1,2,2,2
7,2,1,2,2,2
8,3,2,1,3,3
9,1,1,1,1,1
10,1,1,1,1,1
11,3,2,1,3,3
12,1,1,1,1,1
13,4,2,2,4,4
14,3,2,1,3,3
15,4,2,2,4,4
16,4,2,2,4,4
17,2,1,2,2,2
18,4,2,2,4,4
19,3,2,1,3,3
20,3,2,1,3,3
21,4,2,2,4,4
22,3,2,1,3,3
23,1,1,1,1,1
24,2,1,2,2,2
25,2,1,2,2,2
26,2,1,2,2,2
27,2,1,2,2,2
28,3,2,1,3,3
29,4,2,2,4,4
30,3,2,1,3,3
31,1,1,1,1,1
32,4,2,2,4,4
33,2,1,2,2,2
34,1,1,1,1,1
35,2,1,2,2,2
36,4,2,2,4,4
37,1,1,1,1,1
38,1,1,1,1,1
39,2,1,2,2,2
40,4,2,2,4,4
41,1,1,1,1,1
42,4,2,2,4,4
43,3,2,1,3,3
44,2,1,2,2,2
45,4,2,2,4,4
46,4,2,2,4,4
47,1,1,1,1,1
48,1,1,1,1,1
49,3,2,1,3,3
50,3,2,1,3,3
51,3,2,1,3,3
52,2,1,2,2,2
