Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,2,4,4
2,2,1,2,2,2
3,1,1,1,1,1
4,4,2,2,4,4
5,2,1,2,2,2
6,2,1,2,2,2
7,1,1,1,1,1
8,2,1,2,2,2
9,1,1,1,1,1
10,1,1,1,1,1
11,4,2,2,4,4
12,2,1,2,2,2
13,4,2,2,4,4
14,3,2,1,3,3
15,3,2,1,3,3
16,1,1,1,1,1
17,4,2,2,4,4
18,3,2,1,3,3
19,3,2,1,3,3
20,3,2,1,3,3
21,2,1,2,2,2
22,2,1,2,2,2
23,2,1,2,2,2
24,2,1,2,2,2
25,3,2,1,3,3
26,4,2,2,4,4
27,4,2,2,4,4
28,3,2,1,3,3
29,4,2,2,4,4
30,3,2,1,3,3
31,1,1,1,1,1
32,1,1,1,1,1
33,3,2,1,3,3
34,3,2,1,3,3
35,2,1,2,2,2
36,1,1,1,1,1
37,4,2,2,4,4
38,2,1,2,2,2
39,3,2,1,3,3
40,1,1,1,1,1
41,1,1,1,1,1
42,4,2,2,4,4
43,2,1,2,2,2
44,4,2,2,4,4
45,3,2,1,3,3
46,3,2,1,3,3
47,1,1,1,1,1
48,1,1,1,1,1
49,4,2,2,4,4
50,4,2,2,4,4
51,2,1,2,2,2
52,1,1,1,1,1
