Trialn,TrialType,Partner,Feedback,ITI,ISI
1,1,1,1,2,2.550000e+00
2,1,1,1,2,8.500000e-01
3,1,1,1,2,1.700000e+00
4,3,1,3,3,8.500000e-01
5,3,1,3,1,1.700000e+00
6,4,2,1,2,2.550000e+00
7,1,1,1,2,2.550000e+00
8,4,2,1,4,2.550000e+00
9,4,2,1,2,8.500000e-01
10,3,1,3,1,1.700000e+00
11,3,1,3,1,8.500000e-01
12,1,1,1,3,1.700000e+00
13,6,2,3,4,8.500000e-01
14,3,1,3,3,8.500000e-01
15,4,2,1,3,8.500000e-01
16,6,2,3,4,8.500000e-01
17,6,2,3,1,2.550000e+00
18,6,2,3,3,2.550000e+00
19,1,1,1,3,8.500000e-01
20,4,2,1,1,8.500000e-01
21,4,2,1,4,8.500000e-01
22,5,2,2,1,8.500000e-01
23,2,1,2,3,1.700000e+00
24,4,2,1,2,1.700000e+00
25,1,1,1,4,1.700000e+00
26,3,1,3,1,1.700000e+00
27,2,1,2,2,1.700000e+00
28,5,2,2,3,1.700000e+00
29,4,2,1,3,2.550000e+00
30,4,2,1,2,8.500000e-01
31,6,2,3,1,2.550000e+00
32,6,2,3,1,1.700000e+00
33,6,2,3,4,8.500000e-01
34,2,1,2,3,2.550000e+00
35,5,2,2,2,8.500000e-01
36,3,1,3,4,2.550000e+00
37,2,1,2,4,2.550000e+00
38,3,1,3,2,8.500000e-01
39,1,1,1,1,2.550000e+00
40,1,1,1,3,1.700000e+00
41,1,1,1,4,1.700000e+00
42,6,2,3,2,1.700000e+00
43,4,2,1,4,1.700000e+00
44,5,2,2,2,2.550000e+00
45,6,2,3,3,8.500000e-01
46,3,1,3,1,2.550000e+00
47,4,2,1,4,2.550000e+00
48,6,2,3,2,2.550000e+00
49,6,2,3,1,2.550000e+00
50,1,1,1,1,1.700000e+00
51,2,1,2,4,1.700000e+00
52,5,2,2,3,2.550000e+00
53,3,1,3,2,8.500000e-01
54,3,1,3,3,1.700000e+00
