Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,1,3,3,1.700000e+00
2,1,1,1,3,2.550000e+00
3,4,2,1,3,8.500000e-01
4,2,1,2,3,1.700000e+00
5,2,1,2,2,8.500000e-01
6,1,1,1,1,2.550000e+00
7,6,2,3,2,2.550000e+00
8,4,2,1,3,8.500000e-01
9,4,2,1,3,1.700000e+00
10,6,2,3,1,1.700000e+00
11,3,1,3,3,1.700000e+00
12,1,1,1,4,1.700000e+00
13,6,2,3,4,8.500000e-01
14,3,1,3,4,1.700000e+00
15,4,2,1,2,2.550000e+00
16,4,2,1,1,2.550000e+00
17,3,1,3,1,1.700000e+00
18,5,2,2,3,2.550000e+00
19,4,2,1,1,8.500000e-01
20,6,2,3,1,1.700000e+00
21,1,1,1,1,2.550000e+00
22,5,2,2,2,8.500000e-01
23,3,1,3,1,8.500000e-01
24,3,1,3,2,2.550000e+00
25,4,2,1,3,8.500000e-01
26,1,1,1,1,8.500000e-01
27,1,1,1,4,1.700000e+00
28,4,2,1,1,8.500000e-01
29,6,2,3,2,2.550000e+00
30,6,2,3,2,1.700000e+00
31,2,1,2,2,8.500000e-01
32,3,1,3,1,1.700000e+00
33,3,1,3,1,8.500000e-01
34,4,2,1,3,1.700000e+00
35,6,2,3,2,2.550000e+00
36,1,1,1,4,2.550000e+00
37,6,2,3,2,1.700000e+00
38,2,1,2,4,2.550000e+00
39,6,2,3,4,8.500000e-01
40,5,2,2,3,1.700000e+00
41,5,2,2,1,2.550000e+00
42,4,2,1,1,8.500000e-01
43,1,1,1,4,2.550000e+00
44,1,1,1,2,2.550000e+00
45,3,1,3,3,1.700000e+00
46,1,1,1,4,2.550000e+00
47,5,2,2,3,8.500000e-01
48,6,2,3,2,2.550000e+00
49,2,1,2,4,8.500000e-01
50,3,1,3,4,1.700000e+00
51,6,2,3,2,1.700000e+00
52,4,2,1,2,8.500000e-01
53,3,1,3,2,2.550000e+00
54,1,1,1,1,8.500000e-01
