Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,1,3,3,2.550000e+00
2,3,1,3,2,8.500000e-01
3,5,2,2,2,1.700000e+00
4,1,1,1,1,2.550000e+00
5,1,1,1,4,2.550000e+00
6,3,1,3,3,8.500000e-01
7,6,2,3,4,2.550000e+00
8,6,2,3,1,1.700000e+00
9,6,2,3,1,1.700000e+00
10,3,1,3,3,1.700000e+00
11,4,2,1,1,8.500000e-01
12,2,1,2,3,8.500000e-01
13,6,2,3,4,8.500000e-01
14,6,2,3,1,1.700000e+00
15,4,2,1,3,8.500000e-01
16,1,1,1,3,2.550000e+00
17,6,2,3,4,1.700000e+00
18,4,2,1,2,2.550000e+00
19,5,2,2,2,8.500000e-01
20,6,2,3,2,8.500000e-01
21,4,2,1,1,8.500000e-01
22,2,1,2,3,1.700000e+00
23,4,2,1,4,8.500000e-01
24,1,1,1,1,2.550000e+00
25,1,1,1,2,8.500000e-01
26,3,1,3,3,8.500000e-01
27,3,1,3,4,8.500000e-01
28,3,1,3,1,1.700000e+00
29,3,1,3,3,2.550000e+00
30,3,1,3,4,8.500000e-01
31,5,2,2,4,2.550000e+00
32,6,2,3,2,2.550000e+00
33,1,1,1,2,1.700000e+00
34,4,2,1,2,1.700000e+00
35,1,1,1,2,1.700000e+00
36,3,1,3,2,1.700000e+00
37,1,1,1,2,1.700000e+00
38,5,2,2,1,8.500000e-01
39,1,1,1,4,1.700000e+00
40,4,2,1,3,2.550000e+00
41,2,1,2,3,8.500000e-01
42,6,2,3,3,1.700000e+00
43,4,2,1,1,8.500000e-01
44,1,1,1,1,2.550000e+00
45,1,1,1,2,1.700000e+00
46,2,1,2,4,8.500000e-01
47,4,2,1,1,1.700000e+00
48,6,2,3,1,2.550000e+00
49,2,1,2,3,2.550000e+00
50,3,1,3,1,2.550000e+00
51,4,2,1,3,2.550000e+00
52,5,2,2,1,2.550000e+00
53,6,2,3,4,1.700000e+00
54,4,2,1,4,2.550000e+00
