Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,1,1,8.500000e-01
2,1,1,1,4,2.550000e+00
3,3,1,3,4,1.700000e+00
4,5,2,2,2,2.550000e+00
5,1,1,1,4,1.700000e+00
6,3,1,3,1,1.700000e+00
7,4,2,1,4,8.500000e-01
8,6,2,3,1,8.500000e-01
9,1,1,1,3,8.500000e-01
10,4,2,1,1,2.550000e+00
11,5,2,2,2,2.550000e+00
12,3,1,3,3,2.550000e+00
13,1,1,1,4,1.700000e+00
14,6,2,3,3,2.550000e+00
15,2,1,2,2,2.550000e+00
16,5,2,2,2,8.500000e-01
17,4,2,1,4,2.550000e+00
18,1,1,1,1,1.700000e+00
19,5,2,2,2,1.700000e+00
20,4,2,1,1,2.550000e+00
21,4,2,1,2,2.550000e+00
22,3,1,3,4,1.700000e+00
23,3,1,3,2,1.700000e+00
24,6,2,3,3,2.550000e+00
25,3,1,3,1,8.500000e-01
26,3,1,3,2,2.550000e+00
27,6,2,3,3,8.500000e-01
28,3,1,3,1,8.500000e-01
29,6,2,3,3,1.700000e+00
30,2,1,2,4,2.550000e+00
31,3,1,3,3,2.550000e+00
32,1,1,1,1,1.700000e+00
33,3,1,3,3,2.550000e+00
34,2,1,2,2,1.700000e+00
35,6,2,3,1,1.700000e+00
36,6,2,3,3,2.550000e+00
37,1,1,1,1,8.500000e-01
38,6,2,3,3,8.500000e-01
39,6,2,3,2,8.500000e-01
40,4,2,1,4,1.700000e+00
41,2,1,2,2,1.700000e+00
42,2,1,2,2,8.500000e-01
43,6,2,3,1,8.500000e-01
44,3,1,3,4,2.550000e+00
45,1,1,1,1,1.700000e+00
46,4,2,1,3,8.500000e-01
47,1,1,1,4,8.500000e-01
48,4,2,1,3,8.500000e-01
49,4,2,1,2,8.500000e-01
50,4,2,1,3,1.700000e+00
51,6,2,3,2,8.500000e-01
52,1,1,1,4,1.700000e+00
53,5,2,2,2,1.700000e+00
54,1,1,1,3,2.550000e+00
