Trialn,TrialType,Partner,Feedback,ITI,ISI
1,1,1,1,2,8.500000e-01
2,3,1,3,3,2.550000e+00
3,3,1,3,4,8.500000e-01
4,6,2,3,1,2.550000e+00
5,6,2,3,1,1.700000e+00
6,4,2,1,2,1.700000e+00
7,5,2,2,2,1.700000e+00
8,6,2,3,4,2.550000e+00
9,2,1,2,4,8.500000e-01
10,3,1,3,3,2.550000e+00
11,1,1,1,3,8.500000e-01
12,4,2,1,1,1.700000e+00
13,1,1,1,3,1.700000e+00
14,3,1,3,2,2.550000e+00
15,6,2,3,3,8.500000e-01
16,3,1,3,1,8.500000e-01
17,4,2,1,4,2.550000e+00
18,6,2,3,4,1.700000e+00
19,4,2,1,4,2.550000e+00
20,4,2,1,1,8.500000e-01
21,1,1,1,1,8.500000e-01
22,2,1,2,1,1.700000e+00
23,5,2,2,3,8.500000e-01
24,4,2,1,2,8.500000e-01
25,1,1,1,2,2.550000e+00
26,2,1,2,3,1.700000e+00
27,1,1,1,1,2.550000e+00
28,6,2,3,4,2.550000e+00
29,6,2,3,2,1.700000e+00
30,6,2,3,4,1.700000e+00
31,1,1,1,3,1.700000e+00
32,4,2,1,1,2.550000e+00
33,4,2,1,1,8.500000e-01
34,4,2,1,1,1.700000e+00
35,1,1,1,3,8.500000e-01
36,2,1,2,1,2.550000e+00
37,1,1,1,2,8.500000e-01
38,5,2,2,4,8.500000e-01
39,4,2,1,1,1.700000e+00
40,5,2,2,2,8.500000e-01
41,3,1,3,2,1.700000e+00
42,6,2,3,3,2.550000e+00
43,6,2,3,1,1.700000e+00
44,1,1,1,3,8.500000e-01
45,6,2,3,3,1.700000e+00
46,3,1,3,2,2.550000e+00
47,3,1,3,4,2.550000e+00
48,3,1,3,2,8.500000e-01
49,3,1,3,1,1.700000e+00
50,1,1,1,1,2.550000e+00
51,4,2,1,3,2.550000e+00
52,5,2,2,4,2.550000e+00
53,3,1,3,2,8.500000e-01
54,2,1,2,4,1.700000e+00
