Trialn,TrialType,Partner,Feedback,ITI,ISI
1,2,1,2,4,8.500000e-01
2,4,2,1,4,1.700000e+00
3,1,1,1,4,2.550000e+00
4,3,1,3,1,1.700000e+00
5,1,1,1,4,1.700000e+00
6,4,2,1,1,8.500000e-01
7,2,1,2,1,1.700000e+00
8,5,2,2,4,1.700000e+00
9,6,2,3,2,8.500000e-01
10,4,2,1,2,8.500000e-01
11,6,2,3,4,2.550000e+00
12,6,2,3,2,2.550000e+00
13,6,2,3,3,2.550000e+00
14,1,1,1,3,1.700000e+00
15,1,1,1,3,2.550000e+00
16,3,1,3,4,2.550000e+00
17,6,2,3,4,8.500000e-01
18,4,2,1,2,2.550000e+00
19,1,1,1,3,8.500000e-01
20,6,2,3,3,1.700000e+00
21,6,2,3,2,1.700000e+00
22,4,2,1,2,2.550000e+00
23,3,1,3,2,8.500000e-01
24,3,1,3,4,2.550000e+00
25,1,1,1,3,1.700000e+00
26,3,1,3,2,2.550000e+00
27,3,1,3,1,8.500000e-01
28,5,2,2,4,1.700000e+00
29,4,2,1,1,8.500000e-01
30,6,2,3,1,1.700000e+00
31,5,2,2,3,1.700000e+00
32,1,1,1,1,2.550000e+00
33,2,1,2,4,2.550000e+00
34,2,1,2,4,2.550000e+00
35,6,2,3,2,2.550000e+00
36,4,2,1,1,8.500000e-01
37,6,2,3,2,1.700000e+00
38,3,1,3,2,8.500000e-01
39,3,1,3,4,8.500000e-01
40,4,2,1,3,8.500000e-01
41,4,2,1,4,8.500000e-01
42,4,2,1,1,8.500000e-01
43,3,1,3,3,2.550000e+00
44,1,1,1,1,2.550000e+00
45,5,2,2,3,1.700000e+00
46,3,1,3,3,8.500000e-01
47,1,1,1,1,2.550000e+00
48,4,2,1,3,8.500000e-01
49,2,1,2,2,1.700000e+00
50,1,1,1,3,1.700000e+00
51,1,1,1,4,1.700000e+00
52,5,2,2,3,2.550000e+00
53,3,1,3,1,8.500000e-01
54,6,2,3,1,1.700000e+00
